date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:46	26505/26505	U--MC-	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:55:45%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/index.html	(from )
13:55:46	16683/16683	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:55:46%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/09	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/09	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:55:47	16683/16683	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:55:47%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/11	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/11	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:55:48	16683/16683	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:55:48%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/12	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/12	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:55:49	34157/34157	U--MC-	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:55:49%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:55:50	34162/34162	U--MC-	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:55:50%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/13	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/13.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:55:50	20337/20337	U--MC-	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:55:50%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/10	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/10.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:55:50	16683/16683	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:55:50%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/15	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/15.7.delayed	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:55:51	19853/19853	U--MC-	200	updated ('OK')	text/html	date:Thu,%2018%20Jan%202024%2013:55:50%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/14	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/14.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
13:55:51	16683/16683	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202024%2013:55:51%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/16	website/classquota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/16	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
